experiment_id,case_name,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,min_time,avg_time,median_time,p90_time,max_time,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,representative_case_mode_0,82,Efficient,0.0,117,0.03974304372284095,0.01668391314554293,0.02107449716437328,26.905982905982906,5656.0,5750.2,5751.0,5824.6,5843.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,83,Efficient,0.0,108,0.02504416629243555,0.008324995325371108,0.011896026682748601,25.925925925925927,5175.0,5270.4,5271.0,5345.6,5364.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,73,Efficient,0.0,56,0.0,0.0,0.0,19.553571428571427,2472.0,2633.1666666666665,2638.5,2748.0,2775.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,77,Efficient,0.0,65,0.00325751579368512,0.0007582690372453373,0.0287696333577596,21.584615384615386,2905.0,3054.1666666666665,3046.5,3182.0,3210.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,92,Efficient,0.0,103,0.012990491314455992,0.0039006465946367372,0.011728552916400993,21.57281553398058,4380.0,4675.4,4611.0,5026.0,5107.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,82,Efficient,1.0,98,0.0,0.0,0.0,24.510204081632654,4154.0,4572.8,4519.0,4863.6,4882.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,83,Efficient,1.0,95,0.0008431314367666876,0.00017583756141192246,0.0,23.673684210526314,4013.0,4298.8,4246.0,4618.8,4746.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,73,Efficient,1.0,56,0.0,0.0,0.0,19.553571428571427,2472.0,2633.3333333333335,2638.5,2748.5,2776.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,77,Efficient,1.0,64,0.001665393470734028,0.00032527373434141466,0.017887439241120105,21.375,2855.0,2997.0,2993.5,3114.5,3154.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,92,Efficient,1.0,96,0.0008839357027371067,0.00018373965838265225,0.0,22.916666666666668,4108.0,4463.8,4473.0,4709.1,4791.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,82,Centrality,0.0,95,0.008351123714919933,0.0026602505871197923,0.005104318062999574,25.726315789473684,4356.0,4504.0,4450.0,4669.2,4724.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,83,Centrality,0.0,102,0.01945587410273585,0.00612658282033656,0.008151444652268348,27.137254901960784,4858.0,4956.0,4958.0,5034.2,5053.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,73,Centrality,0.0,80,0.0033363168801510295,0.0008579246761504386,0.011156932849887545,23.5875,3729.0,3860.5,3864.0,3956.5,3979.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,77,Centrality,0.0,63,0.0,0.0,0.007766816639106433,22.11111111111111,2824.0,2986.6666666666665,2992.0,3102.5,3130.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,92,Centrality,0.0,96,0.009410244378594746,0.002782237163147664,0.009847376288882286,23.052083333333332,4087.0,4410.0,4401.5,4688.1,4770.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,82,Centrality,1.0,100,0.0,0.0,0.0,27.03,4515.0,4778.4,4818.0,4959.4,4981.0,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,83,Centrality,1.0,98,0.001159791525455039,0.00029618846679072854,0.0,25.540816326530614,4288.0,4581.8,4560.0,4829.4,4873.0,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,73,Centrality,1.0,80,0.0014819836935810009,0.00028694486077591444,0.006667636466353989,23.45,3737.0,3853.5,3854.0,3946.0,3969.0,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,77,Centrality,1.0,67,0.0,0.0,0.008805275140251501,21.01492537313433,2824.0,3019.1666666666665,2992.0,3200.0,3325.0,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,92,Centrality,1.0,95,0.0012837510174001047,0.0003273587362455295,0.0,23.726315789473684,4057.0,4324.6,4287.5,4616.3,4709.0,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
