id,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
4,representative_case_mode_3,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
