experiment_id,case_name,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,min_time,avg_time,median_time,p90_time,max_time,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,representative_case_mode_0,82,Efficient,0.0,117,0.03974304372284095,0.01668391314554293,0.023076923076923078,26.905982905982906,522.0,522.0,522.0,522.0,522.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,83,Efficient,0.0,108,0.02504416629243555,0.008324995325371108,0.0,25.925925925925927,0.0,0.0,0.0,0.0,0.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,73,Efficient,0.0,56,0.0,0.0,0.0,19.553571428571427,0.0,0.0,0.0,0.0,0.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,77,Efficient,0.0,65,0.00325751579368512,0.0007582690372453373,0.0,21.584615384615386,0.0,0.0,0.0,0.0,0.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,92,Efficient,0.0,103,0.012990491314455992,0.0039006465946367372,0.0,21.57281553398058,0.0,0.0,0.0,0.0,0.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,82,Efficient,1.0,98,0.0,0.0,0.0,24.510204081632654,436.5,436.5,436.5,436.5,436.5,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,83,Efficient,1.0,95,0.0008431314367666876,0.00017583756141192246,0.0,23.673684210526314,0.0,0.0,0.0,0.0,0.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,73,Efficient,1.0,56,0.0,0.0,0.0,19.553571428571427,0.0,0.0,0.0,0.0,0.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,77,Efficient,1.0,64,0.001665393470734028,0.00032527373434141466,0.0,21.375,0.0,0.0,0.0,0.0,0.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,92,Efficient,1.0,96,0.0008839357027371067,0.00018373965838265225,0.0,22.916666666666668,0.0,0.0,0.0,0.0,0.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,representative_case_mode_2,82,Centrality,0.0,95,0.008351123714919933,0.0026602505871197923,0.0,25.726315789473684,0.0,0.0,0.0,0.0,0.0,representative_case_mode_2,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
