experiment_id,agent_group_id,algorithm,awareness,n_records,mean_risk,mean_risk_var,avg_path_length,avg_time,max_time,name,risk_nodes,source_nodes,agents_per_source,random_seed
1,82,Centrality,Low,101,0.019891583041426818,0.006186149842483471,27.613861386138613,147.79200000000014,150.57000000000016,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,83,Centrality,High,98,0.0013600329123323704,0.0003549328715939263,23.96938775510204,135.16200000000012,145.83000000000015,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,83,Centrality,Low,101,0.015169552489619672,0.004656319354746033,25.15841584158416,137.92800000000017,140.91000000000014,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,92,Centrality,High,98,0.0008071347326108887,0.0001684412572309329,21.8265306122449,131.89500000000015,141.75000000000014,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,92,Centrality,Low,101,0.006056649834914429,0.0017099174047628838,20.455445544554454,123.05400000000012,129.42000000000013,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,82,Efficient,High,91,0.0012972398038773327,0.0003285171919915224,25.736263736263737,132.43200000000016,135.84000000000015,example_case,"[[0, ""8"", 1.0], [2400, ""153"", 0.6], [2400, ""225"", 1.0], [2400, ""224"", 1.0], [2400, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
3,82,Efficient,Low,109,0.02887752190666545,0.0116383432513918,26.862385321100916,159.90600000000015,162.75000000000017,example_case,"[[0, ""8"", 1.0], [2400, ""153"", 0.6], [2400, ""225"", 1.0], [2400, ""224"", 1.0], [2400, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
3,83,Centrality,High,91,0.002266471556956946,0.0006781496340843066,20.516483516483518,106.2360000000001,112.95000000000012,example_case,"[[0, ""8"", 1.0], [2400, ""153"", 0.6], [2400, ""225"", 1.0], [2400, ""224"", 1.0], [2400, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
3,83,Centrality,Low,109,0.007579814769376086,0.0021836810444559084,21.36697247706422,126.21600000000012,129.00000000000014,example_case,"[[0, ""8"", 1.0], [2400, ""153"", 0.6], [2400, ""225"", 1.0], [2400, ""224"", 1.0], [2400, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
4,1,Centrality,High,26,0.05266330891330891,0.0065692794033567845,3.8076923076923075,30.06461538461542,37.74000000000004,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
